algorithm,dataset,rmse_mine,rmse_off,d_rmse,cliff_mine,cliff_off,d_cliff,n_train,n_test,n_cliff
SVM,CHEMBL1862_Ki,0.773565,0.773565,0.000000,0.673929,0.673929,0.000000,633,161,67
SVM,CHEMBL1871_Ki,0.664931,0.664931,-0.000000,0.873356,0.873356,0.000000,525,134,32
SVM,CHEMBL2034_Ki,0.673742,0.673742,-0.000000,0.812858,0.812858,0.000000,598,152,52
SVM,CHEMBL2047_EC50,0.613574,0.613574,-0.000000,0.687411,0.687411,0.000000,503,128,50
SVM,CHEMBL204_Ki,0.723131,0.723131,0.000000,0.858813,0.858813,-0.000000,2201,553,220
SVM,CHEMBL2147_Ki,0.576209,0.576209,-0.000000,0.579572,0.579572,-0.000000,1162,294,116
SVM,CHEMBL214_Ki,0.634461,0.634461,0.000000,0.723825,0.723825,-0.000000,2651,666,245
SVM,CHEMBL218_EC50,0.718980,0.718980,0.000000,0.761412,0.761412,-0.000000,823,208,76
SVM,CHEMBL219_Ki,0.709612,0.709612,0.000000,0.788281,0.788281,-0.000000,1491,374,148
SVM,CHEMBL228_Ki,0.662065,0.662074,-0.000009,0.675913,0.675925,-0.000012,1362,342,127
SVM,CHEMBL231_Ki,0.750318,0.750318,0.000000,0.932242,0.932242,0.000000,776,197,48
SVM,CHEMBL233_Ki,0.774232,0.774226,0.000006,0.859080,0.859067,0.000013,2512,630,259
SVM,CHEMBL234_Ki,0.621662,0.621662,-0.000000,0.631824,0.631824,0.000000,2924,733,320
SVM,CHEMBL235_EC50,0.639687,0.639691,-0.000004,0.774260,0.774267,-0.000007,1877,472,178
SVM,CHEMBL236_Ki,0.698080,0.698080,-0.000000,0.797766,0.797766,0.000000,2077,521,204
SVM,CHEMBL237_EC50,0.720033,0.720033,0.000000,0.781576,0.781576,0.000000,762,193,91
SVM,CHEMBL237_Ki,0.677141,0.677141,-0.000000,0.735015,0.735015,0.000000,2081,522,223
SVM,CHEMBL238_Ki,0.610063,0.610063,-0.000000,0.680838,0.680838,-0.000000,839,213,55
SVM,CHEMBL239_EC50,0.677621,0.677621,-0.000000,0.819104,0.819104,-0.000000,1374,347,141
SVM,CHEMBL244_Ki,0.715164,0.715157,0.000008,0.796611,0.796601,0.000009,2476,621,296
SVM,CHEMBL262_Ki,0.723561,0.723561,-0.000000,0.655612,0.655612,0.000000,683,173,32
SVM,CHEMBL264_Ki,0.614967,0.614967,-0.000000,0.674080,0.674080,0.000000,2288,574,239
SVM,CHEMBL2835_Ki,0.419769,0.419799,-0.000030,0.742578,0.742677,-0.000099,489,126,13
SVM,CHEMBL287_Ki,0.714202,0.714211,-0.000009,0.811534,0.811549,-0.000015,1061,267,103
SVM,CHEMBL2971_Ki,0.605035,0.605035,-0.000000,0.658999,0.658999,0.000000,779,197,34
SVM,CHEMBL3979_EC50,0.629455,0.629475,-0.000020,0.673694,0.673710,-0.000016,899,226,94
SVM,CHEMBL4005_Ki,0.646152,0.646152,0.000000,0.741546,0.741546,-0.000000,767,193,81
SVM,CHEMBL4203_Ki,0.879794,0.879794,-0.000000,1.001433,1.001433,-0.000000,582,149,13
SVM,CHEMBL4616_EC50,0.635268,0.635268,0.000000,0.692430,0.692430,0.000000,543,139,73
SVM,CHEMBL4792_Ki,0.633395,0.633395,-0.000000,0.638141,0.638141,-0.000000,1174,297,160
RF,CHEMBL1862_Ki,0.812996,0.805117,0.007879,0.700433,0.685949,0.014484,633,161,67
RF,CHEMBL1871_Ki,0.665972,0.659960,0.006012,0.911947,0.906362,0.005585,525,134,32
RF,CHEMBL2034_Ki,0.726609,0.726912,-0.000303,0.851312,0.851793,-0.000481,598,152,52
RF,CHEMBL2047_EC50,0.629413,0.627521,0.001892,0.671355,0.664613,0.006742,503,128,50
RF,CHEMBL204_Ki,0.767225,0.762779,0.004445,0.904676,0.898835,0.005840,2201,553,220
RF,CHEMBL2147_Ki,0.658371,0.661555,-0.003184,0.677584,0.676338,0.001246,1162,294,116
RF,CHEMBL214_Ki,0.699236,0.700289,-0.001053,0.797345,0.801006,-0.003661,2651,666,245
RF,CHEMBL218_EC50,0.708363,0.705521,0.002842,0.755128,0.759605,-0.004477,823,208,76
