descriptor,algorithm,dataset,rmse_mine,rmse_off,cliff_mine,cliff_off,n_train,n_test,n_cliff
ECFP,SVM,CHEMBL1862_Ki,0.7736,0.7736,0.6739,0.6739,633,161,67
ECFP,RF,CHEMBL1862_Ki,0.8121,0.8051,0.6971,0.6859,633,161,67
ECFP,GBM,CHEMBL1862_Ki,0.791,0.7977,0.7704,0.7465,633,161,67
ECFP,KNN,CHEMBL1862_Ki,0.8983,0.8983,0.8218,0.8218,633,161,67
ECFP,SVM,CHEMBL1871_Ki,0.6649,0.6649,0.8734,0.8734,525,134,32
ECFP,RF,CHEMBL1871_Ki,0.6592,0.66,0.9002,0.9064,525,134,32
ECFP,GBM,CHEMBL1871_Ki,0.7049,0.6775,0.9594,0.9221,525,134,32
ECFP,KNN,CHEMBL1871_Ki,0.6498,0.6498,0.817,0.817,525,134,32
ECFP,SVM,CHEMBL2034_Ki,0.6737,0.6737,0.8129,0.8129,598,152,52
ECFP,RF,CHEMBL2034_Ki,0.7312,0.7269,0.8549,0.8518,598,152,52
ECFP,GBM,CHEMBL2034_Ki,0.7383,0.7674,0.8504,0.8637,598,152,52
ECFP,KNN,CHEMBL2034_Ki,0.6965,0.6965,0.9133,0.9133,598,152,52
ECFP,SVM,CHEMBL2047_EC50,0.6136,0.6136,0.6874,0.6874,503,128,50
ECFP,RF,CHEMBL2047_EC50,0.6229,0.6275,0.6653,0.6646,503,128,50
ECFP,GBM,CHEMBL2047_EC50,0.6072,0.602,0.6705,0.6396,503,128,50
ECFP,KNN,CHEMBL2047_EC50,0.6418,0.6418,0.7353,0.7353,503,128,50
ECFP,SVM,CHEMBL204_Ki,0.7231,0.7231,0.8588,0.8588,2201,553,220
ECFP,RF,CHEMBL204_Ki,0.7638,0.7628,0.9001,0.8988,2201,553,220
ECFP,GBM,CHEMBL204_Ki,0.77,0.7533,0.9506,0.932,2201,553,220
ECFP,KNN,CHEMBL204_Ki,0.8217,0.8207,0.998,0.9954,2201,553,220
