algorithm,descriptor,dataset,rmse_mine,rmse_off,cliff_mine,cliff_off,rmse_folds,n_folds
MLP,ECFP,CHEMBL1862_Ki,0.8802135703699994,0.87758985,0.7774689369605403,0.781079582,0.8895;0.8855;0.8968;0.8454;0.8838,5
MLP,ECFP,CHEMBL1871_Ki,0.7324269684691646,0.736748215,0.9569726490123648,0.957916115,0.7360;0.6939;0.7468;0.7635;0.7220,5
MLP,ECFP,CHEMBL2034_Ki,0.7421297948638321,0.742344836,0.8566275622855285,0.848845091,0.7544;0.7455;0.7429;0.7274;0.7405,5
MLP,ECFP,CHEMBL2047_EC50,0.6693944060578056,0.676582201,0.7050608294810246,0.728325065,0.6766;0.6724;0.6733;0.6487;0.6759,5
MLP,ECFP,CHEMBL204_Ki,0.805578043486854,0.815379947,0.9489009069940576,0.962202048,0.8111;0.8191;0.8179;0.8076;0.7722,5
MLP,ECFP,CHEMBL2147_Ki,0.7065930755166188,0.723222803,0.6817584205288386,0.703505061,0.6858;0.7054;0.6997;0.7322;0.7099,5
MLP,ECFP,CHEMBL214_Ki,0.6892341671670134,0.693191161,0.7839844751658425,0.780302744,0.6923;0.6888;0.6781;0.7014;0.6856,5
MLP,ECFP,CHEMBL218_EC50,0.7513464073176181,0.785075971,0.7817429097383934,0.805931529,0.7668;0.7727;0.7302;0.7531;0.7340,5
MLP,ECFP,CHEMBL219_Ki,0.7638027530325198,0.755676971,0.8210595461470946,0.831891286,0.7915;0.7510;0.7493;0.7457;0.7816,5
MLP,ECFP,CHEMBL228_Ki,0.7591067949629764,0.755045343,0.7548139908525424,0.75740624,0.7434;0.7638;0.7991;0.7561;0.7332,5
MLP,ECFP,CHEMBL231_Ki,0.7716774130028844,1.333510686,0.8968127284083367,1.272199296,0.7552;0.7659;0.7425;0.8230;0.7719,5
MLP,ECFP,CHEMBL233_Ki,0.8371421172444615,0.845189861,0.9128743249518736,0.915700932,0.8307;0.8339;0.8598;0.8423;0.8190,5
MLP,ECFP,CHEMBL234_Ki,0.6723312474456777,0.669250322,0.6715820065792687,0.675901215,0.6749;0.6839;0.6876;0.6624;0.6528,5
MLP,ECFP,CHEMBL235_EC50,0.7184620831090542,0.717960788,0.8228965470401274,0.817774039,0.6978;0.7077;0.7306;0.7245;0.7317,5
MLP,ECFP,CHEMBL236_Ki,0.730169629181934,0.732927583,0.8052529704342654,0.809768962,0.7269;0.7232;0.7489;0.7375;0.7142,5
MLP,ECFP,CHEMBL237_EC50,0.8363729486511046,0.901784366,0.8841643220101643,0.950355975,0.8298;0.8241;0.8577;0.8527;0.8176,5
MLP,ECFP,CHEMBL237_Ki,0.7264262629695326,0.721646187,0.7697088916851031,0.76528526,0.7355;0.7433;0.7099;0.7447;0.6988,5
MLP,ECFP,CHEMBL238_Ki,0.679587506534037,0.683896067,0.723091866016637,0.732016085,0.6788;0.6622;0.6639;0.7085;0.6846,5
MLP,ECFP,CHEMBL239_EC50,0.7675822186397364,0.755946239,0.9097623658203664,0.900973068,0.7500;0.7569;0.8033;0.7602;0.7675,5
MLP,ECFP,CHEMBL244_Ki,0.8030793880630345,0.795519651,0.8521673954196652,0.849722474,0.8212;0.8103;0.7926;0.8196;0.7717,5
MLP,ECFP,CHEMBL262_Ki,0.8312736986437846,0.904091156,0.8607119437149438,0.948395202,0.8540;0.8174;0.8128;0.8283;0.8439,5
MLP,ECFP,CHEMBL264_Ki,0.6648119753136885,0.67185578,0.7239995058914298,0.730901173,0.6748;0.6660;0.6637;0.6639;0.6557,5
MLP,ECFP,CHEMBL2835_Ki,0.4172603536304409,0.487840786,0.8102736259574165,0.875734656,0.4189;0.4394;0.4006;0.4248;0.4025,5
MLP,ECFP,CHEMBL287_Ki,0.7368367805230874,0.732545888,0.8394719153615255,0.851865758,0.7368;0.7428;0.7144;0.7277;0.7625,5
MLP,ECFP,CHEMBL2971_Ki,0.67553866605712,0.674286958,0.7393172399244093,0.763633351,0.6802;0.6544;0.6790;0.6805;0.6835,5
MLP,ECFP,CHEMBL3979_EC50,0.6666899809541433,0.661025907,0.7286683728355531,0.724372114,0.6682;0.6528;0.6738;0.6620;0.6765,5
MLP,ECFP,CHEMBL4005_Ki,0.684834968307767,0.679780942,0.7814400763950327,0.769418084,0.6563;0.7038;0.6948;0.6887;0.6806,5
MLP,ECFP,CHEMBL4203_Ki,0.9445227453814404,0.946809487,1.029906032544813,1.026511639,0.9504;0.9532;0.9274;0.9176;0.9741,5
MLP,ECFP,CHEMBL4616_EC50,0.6962469876184397,0.726821853,0.7485814745286704,0.777893803,0.6860;0.7221;0.7027;0.7271;0.6433,5
MLP,ECFP,CHEMBL4792_Ki,0.6947830703329322,0.691458331,0.6901564780195777,0.682120911,0.6994;0.6954;0.7010;0.6779;0.7002,5
